is.singular,source_db,tree_id,tree_code,tree_genus,tree_species,ht,dbh,longitude,latitude
0,S_NFI_3,100320,6_466_A_1_1_1,Pinus,pinea,9.5,27.15,-4.77456309267721,39.3120887501201
0,S_NFI_3,99557,6_479_A_1_7_7,Pinus,pinea,9.5,25.65,-4.82041741014544,39.2935025464788
0,S_NFI_3,99565,6_479_A_1_15_15,Pinus,pinea,9.5,25.85,-4.82043806985801,39.2934422369369
0,S_NFI_3,100762,6_502_A_1_9_9,Pinus,pinea,9.5,26.35,-4.73850949980126,39.258575797481
0,S_NFI_3,98537,6_63_A_4_1_1,Pinus,pinea,9.5,25.7,-4.90345368471779,39.3643134358693
0,S_NFI_3,104727,6_881_A_1_19_10,Pinus,pinea,9.6,25.75,-5.04824378923081,39.1454931767118
0,S_NFI_3,105620,6_890_A_1_26_25,Pinus,pinea,9.2,26.65,-5.03634664950652,39.1367969539083
0,S_NFI_3,108771,6_929_A_1_2_2,Pinus,pinea,9.5,25.8,-5.02314555358013,39.0830377066
1,S_NFI_3,468472,17_1765_A_1_10_10,Pinus,pinea,23.4,61.6,2.97585956316725,42.055114794927
0,S_NFI_3,478064,17_2155_A_4_9_9,Pinus,pinea,9.2,25.8,2.71078552443292,41.8659107705409
0,S_NFI_3,478056,17_2155_A_4_1_1,Pinus,pinea,9.5,25.55,2.71088935782109,41.8659082841331
0,S_NFI_3,478939,17_2194_A_1_29_26,Pinus,pinea,9.2,24.9,2.71085998703628,41.8478344018489
0,S_NFI_3,479030,17_2199_A_1_8_7,Pinus,pinea,9.5,26.2,2.78304898538662,41.8478863115937
0,S_NFI_3,480245,17_2260_A_1_8_8,Pinus,pinea,9.7,26.75,2.96394776928963,41.9652907562298
1,S_NFI_3,480840,17_2284_A_1_40_40,Pinus,pinea,19.1,71.6,2.97584662989024,41.9472772286675
1,S_NFI_3,480823,17_2284_A_1_23_23,Pinus,pinea,22.3,58.45,2.97573506628353,41.9470467999215
1,S_NFI_3,480839,17_2284_A_1_39_39,Pinus,pinea,18.5,57.25,2.97578937633114,41.9473526562336
1,S_NFI_3,480838,17_2284_A_1_38_38,Pinus,pinea,19,71.6,2.97576539092514,41.9473819194995
0,S_NFI_3,481543,17_2310_A_1_14_10,Pinus,pinea,9.3,25.85,2.86735591130598,41.9291061121521
0,S_NFI_3,482510,17_2351_A_1_11_11,Pinus,pinea,9.5,25.55,3.1447396202549,41.9199927931587
0,S_NFI_3,483206,17_2379_A_1_27_24,Pinus,pinea,9.5,26.95,2.98792392184509,41.9022352705841
0,S_NFI_3,483801,17_2404_A_4_15_15,Pinus,pinea,9.5,25.9,3.07232943034742,41.8930450822929
0,S_NFI_3,491367,17_2711_A_1_18_15,Pinus,pinea,9.5,25.5,2.62727391784292,41.7394233805299
1,S_NFI_3,492213,17_2741_A_1_30_29,Pinus,pinea,21.5,77.3,3.07200042209678,41.830120865452
0,S_NFI_3,494781,17_2884_A_3E_16_16,Pinus,pinea,9.5,25.25,2.85570224927439,41.7219662590062
0,S_NFI_3,149463,8_1140_A_1_7_4,Pinus,pinea,9.5,26.05,2.01107752323062,41.9249430094146
0,S_NFI_3,150057,8_1168_A_1_3_2,Pinus,pinea,9.1,26.75,1.90300460579293,41.9059764731353
0,S_NFI_3,152901,8_1352_A_4_4_4,Pinus,pinea,9.1,27.1,2.36066819360814,41.9544921175463
0,S_NFI_3,153462,8_1386_A_1_4_4,Pinus,pinea,9.3,26.8,2.17992902716375,41.9263923504844
1,S_NFI_3,154049,8_1416_A_1_8_8,Pinus,pinea,17.7,63.7,2.36106565110885,41.9092481610793
1,S_NFI_3,154058,8_1416_A_1_17_17,Pinus,pinea,20.5,68.1,2.36076290266401,41.9094094221577
1,S_NFI_3,154055,8_1416_A_1_14_14,Pinus,pinea,18.1,58.45,2.36081569697381,41.9092636790761
0,S_NFI_3,158615,8_1802_A_1_6_6,Pinus,pinea,9.3,27.1,1.89317085529815,41.770719327619
0,S_NFI_3,158664,8_1806_A_1_5_5,Pinus,pinea,9.1,26.25,1.97736109032111,41.7715325054973
0,S_NFI_3,165417,8_2225_A_4_11_11,Pinus,pinea,9.7,25.45,2.4109208219603,41.7295304977323
0,S_NFI_3,166804,8_2288_A_1_7_7,Pinus,pinea,9.6,25.8,2.26712159133582,41.692664166445
0,S_NFI_3,166914,8_2294_A_1_23_23,Pinus,pinea,9.4,25.5,2.23097639513887,41.6834124425403
0,S_NFI_3,166909,8_2294_A_1_18_18,Pinus,pinea,9.4,25.4,2.23106626768061,41.6833462833174
0,S_NFI_3,166901,8_2294_A_1_10_10,Pinus,pinea,9.1,24.95,2.23110471642321,41.6834559545519
0,S_NFI_3,172100,8_2663_A_1_34_34,Pinus,pinea,9.5,26.9,1.78862689245456,41.5625559445544
0,S_NFI_3,176131,8_2963_A_1_4_4,Pinus,pinea,9.5,26.75,2.1593189570507,41.6649459138988
1,S_NFI_3,176564,8_2980_A_4_2_2,Pinus,pinea,18.5,58.5,2.21954889537537,41.6474925339305
1,S_NFI_3,178099,8_3042_A_1_5_5,Pinus,pinea,19,57.3,2.196256326972,41.5840604878095
0,S_NFI_3,178220,8_3049_A_1_19_19,Pinus,pinea,9.5,25.85,2.44803764240542,41.5857413035059
0,S_NFI_3,178240,8_3050_A_1_14_8,Pinus,pinea,9.5,27.15,2.46017843930831,41.5857026031399
0,S_NFI_3,179110,8_3089_A_1_15_15,Pinus,pinea,9.5,26.5,2.23292812604703,41.5212832205572
0,S_NFI_3,179418,8_3101_A_1_25_25,Pinus,pinea,9.5,25.7,2.34090726200088,41.5130916664166
0,S_NFI_3,179406,8_3101_A_1_13_13,Pinus,pinea,9.5,25.7,2.34091695890368,41.5129315767278
1,S_NFI_3,179460,8_3106_A_1_9_5,Pinus,pinea,20,57.4,2.48353468787233,41.6668868920912
0,S_NFI_3,179818,8_3117_A_1_22_21,Pinus,pinea,9.5,26.7,2.61555198028013,41.6672667129727
0,S_NFI_3,179829,8_3117_A_1_33_32,Pinus,pinea,9.5,27.1,2.61562106953218,41.6674176529957
1,S_NFI_3,184161,8_3345_A_1_3_2,Pinus,pinea,18.5,59.8,2.03046122912688,41.4478941839536
0,S_NFI_3,187770,8_4057_N_N_2_2,Pinus,pinea,9.5,26.45,1.40449552301361,41.5849816775868
1,S_NFI_3,188184,8_4093_N_N_20_19,Pinus,pinea,19.5,70.7,2.17201109750653,41.6021385974588
1,S_NFI_3,188173,8_4093_N_N_9_8,Pinus,pinea,18,58.1,2.17223518570084,41.6018557313075
1,S_NFI_3,188172,8_4093_N_N_8_7,Pinus,pinea,22,69.4,2.17229745434406,41.6019027572169
