is.singular,source_db,tree_id,tree_code,tree_genus,tree_species,ht,dbh,longitude,latitude
0,S_NFI_3,1328272,47_739_A_1_10_9,Pinus,pinea,9.3,26.85,-4.661383354681,41.3497094136004
1,S_NFI_3,1328641,47_770_A_1_19_15,Pinus,pinea,18,57.5,-4.473282459684,41.4782880509849
0,S_NFI_3,1329475,47_833_A_1_10_10,Pinus,pinea,9.5,24.9,-4.89766500622537,41.2471344857882
1,S_NFI_3,1329941,47_869_A_1_1_1,Pinus,pinea,17.7,63.05,-4.56484830964824,41.3151936785624
1,S_NFI_3,1330320,47_898_A_1_5_5,Pinus,pinea,18.3,58,-4.58814430692548,41.28778780833
1,S_NFI_3,1330872,47_947_A_1_1_1,Pinus,pinea,17.8,81.8,-4.7049073208975,41.187182401407
0,S_NFI_3,1375771,49_833_A_1_4_4,Pinus,pinea,9.5,25.05,-5.44593705440816,41.5519442452073
0,S_NFI_3,1376331,49_923_A_1_24_24,Pinus,pinea,9.5,26.7,-5.37193679973283,41.4904988257356
0,S_NFI_3,1376480,49_935_A_1_26_26,Pinus,pinea,9.5,26.9,-5.35828120112476,41.4456635880629
1,S_NFI_3,74594,5_127_A_4_2_2,Pinus,pinea,18.5,83.1,-4.68736847967792,40.9531830257225
1,S_NFI_3,90875,5_1283_A_4_21_21,Pinus,pinea,22.5,59.45,-4.62387049602937,40.3143389970572
1,S_NFI_3,90877,5_1283_A_4_23_23,Pinus,pinea,19.5,56.9,-4.62389964137286,40.3142812433677
1,S_NFI_3,90880,5_1283_A_4_26_26,Pinus,pinea,18,70,-4.62403524281504,40.3142984574353
1,S_NFI_3,90882,5_1283_A_4_28_28,Pinus,pinea,18.5,58.8,-4.62404722398133,40.3142050744275
1,S_NFI_3,90891,5_1283_A_4_37_37,Pinus,pinea,22,57.15,-4.62428281951034,40.3143908030174
1,S_NFI_3,90893,5_1283_A_4_39_39,Pinus,pinea,26,59,-4.62413977284427,40.314474270409
1,S_NFI_3,91175,5_1297_A_1_12_12,Pinus,pinea,19.1,65.3,-4.67113190053675,40.3047574037105
1,S_NFI_3,91176,5_1297_A_1_13_13,Pinus,pinea,20.8,82.1,-4.67097888578217,40.3048338200722
1,S_NFI_3,91177,5_1297_A_1_14_14,Pinus,pinea,20.2,71,-4.67092385670812,40.3048984518842
1,S_NFI_3,91173,5_1297_A_1_10_10,Pinus,pinea,18,58.2,-4.67104567002649,40.3046828685922
1,S_NFI_3,92013,5_1332_A_1_1_1,Pinus,pinea,22.8,66.2,-4.69364959331898,40.2775787619244
1,S_NFI_3,92034,5_1332_A_1_22_22,Pinus,pinea,19.9,74.5,-4.69380284910448,40.2775123187712
1,S_NFI_3,92056,5_1334_A_1_2_1,Pinus,pinea,19.2,66.5,-4.67018082445105,40.277734310952
1,S_NFI_3,92058,5_1334_A_1_4_2,Pinus,pinea,21.8,63.5,-4.67004173962257,40.2776325268084
1,S_NFI_3,92064,5_1334_A_1_10_8,Pinus,pinea,19.4,62.45,-4.67029932546599,40.2776806649272
1,S_NFI_3,92067,5_1335_A_1_1_1,Pinus,pinea,19.5,65.9,-4.63493700933726,40.2783902602541
1,S_NFI_3,92068,5_1335_A_1_2_2,Pinus,pinea,18.9,66.5,-4.63487931286348,40.2783967071216
1,S_NFI_3,92084,5_1335_A_1_18_17,Pinus,pinea,18.3,63.7,-4.63516100416465,40.2783449422449
1,S_NFI_3,92198,5_1344_A_1_1_1,Pinus,pinea,19.9,64.9,-4.65812084569323,40.2689571493925
1,S_NFI_3,92203,5_1344_A_1_6_6,Pinus,pinea,18.8,81.2,-4.65824784772119,40.2688289422272
1,S_NFI_3,92201,5_1344_A_1_4_4,Pinus,pinea,19.5,90.4,-4.65808318988009,40.268875882388
1,S_NFI_3,94249,5_2289_N_N_6_6,Pinus,pinea,23,126.1,-4.35754321523121,40.5162189148439
1,S_NFI_3,79070,5_572_A_1_14_12,Pinus,pinea,18.5,98.7,-4.3458488201949,40.516141197475
